gender_F,age_F,checking_status_F,credit_history_F,purpose_F,savings_status_F,employment_F,other_parties_F,residence_since_F,property_magnitude_F,other_payment_plans_F,housing_F,existing_credits_F,job_F,num_dependents_F,own_telephone_F,foreign_worker_F,duration_F,credit_amount_F,installment_commitment_F,class_F,gender_CF,age_CF,checking_status_CF,credit_history_CF,purpose_CF,savings_status_CF,employment_CF,other_parties_CF,residence_since_CF,property_magnitude_CF,other_payment_plans_CF,housing_CF,existing_credits_CF,job_CF,num_dependents_CF,own_telephone_CF,foreign_worker_CF,duration_CF,credit_amount_CF,installment_commitment_CF,class_CF,class_TTD,class_PSDL,duration_PSDT,credit_amount_PSDT,installment_commitment_PSDT,class_PSDT,risk_score,risk_score_treat_female,risk_score_treat_male
1.0,28.0,1.0,4.0,7.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,12.0,6199.0,4.0,0.0,0.0,28.0,1.0,4.0,7.0,2.0,0.0,2.0,2.000928,0.0,1.0,2.0,1.9993498,3.0,0.9999984,1.0,1.0,10.942279,5500.54,3.999752,0.0,0.0,0.0,11.86547,5957.9023,3.9997973,0.0,0.24599999,0.18387097,0.29000002
1.0,23.0,0.0,3.0,7.0,4.0,2.0,2.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,15.0,1444.0,4.0,1.0,0.0,23.0,0.0,3.0,7.0,4.0,2.0,2.0,1.0003747,0.0,1.0,2.0,0.9997476,3.0,1.0000062,0.0,1.0,11.91283,1198.1313,3.9992068,1.0,1.0,1.0,12.650658,1172.4856,3.9997957,1.0,0.03399998,0.01935482,0.050000012
0.0,37.0,0.0,1.0,5.0,2.0,3.0,2.0,4.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,18.0,3612.0,3.0,1.0,1.0,37.0,0.0,1.0,5.0,2.0,3.0,2.0,3.9990938,0.0,1.0,1.0,1.0000596,3.0,1.0000097,1.0,1.0,20.0463,3938.0054,3.9950557,1.0,1.0,1.0,20.626537,4103.9478,3.9971874,1.0,0.012000024,0.00967741,0.013999999
0.0,48.0,0.0,3.0,5.0,4.0,0.0,2.0,4.0,0.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,24.0,4351.0,1.0,1.0,1.0,48.0,0.0,3.0,5.0,4.0,0.0,2.0,3.9994173,0.0,1.0,1.0,1.0000126,2.0,1.0000162,1.0,1.0,24.495264,5469.1978,0.9997703,1.0,1.0,1.0,23.913061,4740.135,1.0013764,1.0,0.03399998,0.025806427,0.041999996
1.0,35.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,14.0,1410.0,1.0,1.0,0.0,35.0,0.0,3.0,3.0,1.0,3.0,2.0,2.0000682,2.0,1.0,1.0,0.9999261,3.0,0.99999297,1.0,1.0,12.5577545,1201.5566,0.9982991,1.0,1.0,1.0,14.373547,1314.988,0.9984305,1.0,0.82,0.7774193,0.874
1.0,23.0,0.0,1.0,7.0,2.0,2.0,1.0,4.0,2.0,1.0,1.0,2.0,3.0,1.0,0.0,1.0,13.0,882.0,4.0,1.0,0.0,23.0,0.0,1.0,7.0,2.0,2.0,1.0,4.002346,2.0,1.0,1.0,1.9993348,3.0,1.0000105,0.0,1.0,12.153307,903.4724,3.9985924,1.0,1.0,1.0,12.829311,928.5945,3.9987297,1.0,0.0,0.0,0.0
1.0,61.0,3.0,1.0,1.0,2.0,3.0,2.0,4.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,12.0,1255.0,4.0,1.0,0.0,61.0,3.0,1.0,0.0,2.0,3.0,2.0,4.000262,2.0,1.0,1.0,1.9998736,2.0,0.99997306,0.0,1.0,11.784565,1098.446,3.9997115,1.0,1.0,1.0,11.090553,1262.3135,4.000145,1.0,0.01999998,0.0032258034,0.036000013
0.0,26.0,3.0,2.0,3.0,2.0,0.0,2.0,2.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,33.0,2764.0,2.0,1.0,1.0,26.0,3.0,1.0,3.0,3.0,0.0,2.0,1.999201,3.0,1.0,1.0,2.0009959,3.0,0.9999753,1.0,1.0,36.70296,3628.0107,2.0035844,1.0,1.0,1.0,36.367405,3747.0789,2.0019784,1.0,0.03399998,0.01935482,0.05400002
0.0,29.0,1.0,3.0,1.0,4.0,3.0,2.0,2.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,1.0,24.0,915.0,4.0,0.0,1.0,28.999998,1.0,3.0,1.0,4.0,3.0,2.0,1.9996989,3.0,0.0,1.0,1.0001429,3.0,0.9999881,1.0,1.0,35.816742,2029.3817,4.0018945,0.0,0.0,0.0,24.10705,1334.4178,4.0016227,0.0,0.478,0.4677419,0.53
1.0,21.0,1.0,3.0,9.0,2.0,1.0,2.0,4.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,1.0,12.0,902.0,4.0,0.0,0.0,21.0,1.0,3.0,9.0,2.0,1.0,2.0,4.0018945,0.0,1.0,2.0,0.99980235,3.0,1.0000167,0.0,1.0,11.419658,992.98486,3.9991512,0.0,0.0,0.0,12.244802,933.9968,3.9999802,0.0,0.65400004,0.6032258,0.724
